sample	src_idx	text
01	13	This truth which I have learned from her lips is confirmed by his face, in which we have both beheld that of our son."
02	191	But it were a pretty close call an' I hope it won't happen again.
03	730	That's not much of a job for an athlete.
04	407	The machinery was taken up in pieces on the backs of mules from the foot of the mountain.
05	457	The equation on the page of his scribbler began to spread out a widening tail, eyed and starred like a peacock's; and, when the eyes and stars of its indices had been eliminated, began slowly to fold itself together again.
06	476	"I never knew I was called the Unlucky," said Ojo, soberly; "but it is really a good name for me."
07	1116	As seen from the point of view of the individual consumer, the question of wastefulness does not arise within the scope of economic theory proper.
08	1034	"Of that there is little cause of fear," returned the scout, slowly shaking his head; "this is a firm and straight, though a light step, and not over long.
09	919	If the proofs were in a roll, he could not possibly know what they were.
10	864	The Patchwork Girl was taller than he, when she stood upright, and her body was plump and rounded because it had been so neatly stuffed with cotton.
